iter	RMSE
439	749.6823053
440	749.6257081
441	749.5835025
442	749.5460915
443	749.4833302
444	749.4685304
445	749.4337207
446	749.3667885
447	749.3320776
448	749.2938128
449	749.257709
450	749.2378892
451	749.2005408
452	749.1328516
453	749.0773184
454	749.0549627
455	749.0354032
456	748.9887851
457	748.9563286
458	748.8891463
459	748.8231984
460	748.7529196
461	748.612037
462	748.5187074
463	748.4836241
464	748.4442572
465	748.3844271
466	748.3625526
467	748.3318473
468	748.3049445
469	748.2398946
470	748.2171506
471	748.1818806
472	748.1458115
473	748.0905975
474	748.0404612
475	748.0214256
476	747.9958224
477	747.9203056
478	747.9014011
479	747.7767087
480	747.7559363
481	747.709234
482	747.6851136
483	747.6527657
484	747.6373275
485	747.5985565
486	747.574114
487	747.5219222
488	747.4714337
489	747.44017
490	747.4326411
491	747.4107217
492	747.3866375
493	747.3598147
494	747.3025924
495	747.2885927
496	747.2450921
497	747.2201705
498	747.2127252
499	747.194823
500	747.1511635
501	747.0396509
502	746.9962592
503	746.8956078
504	746.8698388
505	746.8344144
506	746.8164085
507	746.7739061
508	746.6758797
509	746.627192
510	746.5770229
511	746.5479621
512	746.5176204
513	746.4840475
514	746.4356119
515	746.3932837
516	746.371319
517	746.3483594
518	746.3128849
519	746.2850861
520	746.2314654
521	746.2166868
522	746.1903578
523	746.1769396
524	746.1500528
525	746.112394
526	746.1068719
527	746.0692347
528	746.0400216
529	746.0265685
530	745.9579085
531	745.9296587
532	745.8987861
533	745.8463498
534	745.8336259
535	745.8095339
536	745.7891088
537	745.7816766
538	745.7342308
539	745.7106546
540	745.6785185
541	745.6542348
542	745.6353321
543	745.5959036
544	745.5182652
545	745.5088502
546	745.4907812
547	745.4466229
548	745.3653238
549	745.3344577
550	745.2950914
551	745.2738949
552	745.23862
553	745.2096548
554	745.1729824
555	745.0879401
556	745.0735082
557	745.0582094
558	745.0354055
559	745.020348
560	744.9647254
561	744.9346185
562	744.9229588
563	744.8855079
564	744.8621391
565	744.8425063
566	744.7514143
567	744.7343004
568	744.7044288
569	744.6286304
570	744.6134874
571	744.6113926
572	744.6013706
573	744.5797492
574	744.5635382
575	744.5235738
576	744.5135885
577	744.4561254
578	744.4343362
579	744.4219328
580	744.3852215
581	744.3652971
582	744.3434283
583	744.3303422
584	744.308833
585	744.3026673
586	744.2700985
587	744.2436479
588	744.2209334
589	744.2025009
590	744.1486714
591	744.1323171
592	744.1201697
593	744.0977084
594	744.0857073
595	744.0606828
596	744.0503169
597	744.0330566
598	744.0219334
599	743.9813971
600	743.9440339
601	743.9221644
602	743.8824381
603	743.8634299
604	743.8146991
605	743.8083265
606	743.7978459
607	743.7371667
608	743.7088813
609	743.6939575
610	743.6774353
611	743.6191453
612	743.6062922
613	743.5631391
614	743.5412184
615	743.5259894
616	743.520756
617	743.5053731
618	743.4710653
619	743.4526922
620	743.439028
621	743.4279483
622	743.4013813
623	743.3727047
624	743.3345936
625	743.3098319
626	743.2999315
627	743.2364229
628	743.2141575
629	743.199398
630	743.1434771
631	743.0854038
632	743.057549
633	743.0395807
634	743.02837
635	743.0129704
636	743.0000151
637	742.9652466
638	742.9502823
639	742.9448967
640	742.9242278
641	742.8983599
642	742.8239282
643	742.798047
644	742.7932427
645	742.7638987
646	742.7417536
647	742.7151478
648	742.6879158
649	742.6110641
650	742.601891
651	742.5856399
652	742.5817761
653	742.5760108
654	742.5511128
655	742.5448937
656	742.5329854
657	742.5157481
658	742.4945126
659	742.4578685
660	742.4334917
661	742.3584973
662	742.3255827
663	742.3064522
664	742.2945018
665	742.2761355
666	742.2577195
667	742.2469143
668	742.2185195
669	742.1958809
670	742.1818584
671	742.1787927
672	742.1638649
673	742.1595378
674	742.1459869
675	742.1279773
676	742.0963472
677	742.089803
678	742.0633097
679	742.0560226
680	742.0364761
681	742.0062192
682	741.9866045
683	741.9807759
684	741.9681094
685	741.9617954
686	741.9544041
687	741.9327002
688	741.9183778
689	741.9023158
690	741.8811419
691	741.8584132
692	741.8440947
693	741.8317801
694	741.8193615
695	741.7976099
696	741.7790299
697	741.7645128
698	741.74993
699	741.7449993
700	741.7414688
701	741.7366415
702	741.7292571
703	741.6835641
704	741.6761012
705	741.6624496
706	741.6360281
707	741.6249454
708	741.612915
709	741.6125174
710	741.6031008
711	741.5919959
712	741.583754
713	741.5677503
714	741.5521497
715	741.5489896
716	741.5461687
717	741.5317231
718	741.5216898
719	741.5065939
720	741.4998515
721	741.4898682
722	741.4546381
723	741.4469256
724	741.4367954
725	741.4343703
726	741.4109791
727	741.3747148
728	741.3098443
729	741.3090071
730	741.290474
731	741.2884462
732	741.2750307
733	741.2651329
734	741.2633845
735	741.2339149
736	741.2317423
737	741.2299679
738	741.2231029
739	741.2169158
740	741.2134158
741	741.2091062
742	741.2000167
743	741.1722486
744	741.1700579
745	741.1658981
746	741.1495497
747	741.1407247
748	741.135007
749	741.128649
750	741.1111801
751	741.0895784
752	741.0831465
753	741.0731315
754	741.063575
755	741.0552826
756	741.0410302
757	741.0354324
758	740.9801335
759	740.9793839
760	740.9747798
761	740.9624094
762	740.9521422
763	740.9468905
764	740.9442853
765	740.934854
766	740.9287961
767	740.9249994
768	740.9147897
769	740.9114445
770	740.9056167
771	740.8963075
772	740.8908499
773	740.8760962
774	740.8603372
775	740.8383961
776	740.8011008
777	740.783053
778	740.7783355
779	740.7685642
780	740.7545769
781	740.7520097
782	740.7422831
783	740.7342103
784	740.7308789
785	740.7059379
786	740.703935
787	740.6967573
788	740.6932189
789	740.6836052
790	740.6663625
791	740.659052
792	740.6358683
793	740.6293826
794	740.6188555
795	740.6111896
796	740.5689226
797	740.5241337
798	740.5220094
799	740.5184737
800	740.5176432
801	740.5052629
802	740.4970041
803	740.4865015
804	740.4555149
805	740.4409196
806	740.4348464
807	740.4313021
808	740.4145494
809	740.4079016
810	740.3730932
811	740.3683007
812	740.360207
813	740.352535
814	740.342158
815	740.3359567
816	740.3292434
817	740.3220189
818	740.3206474
819	740.3171876
820	740.3152751
821	740.3091195
822	740.2938547
823	740.2814354
824	740.2684782
825	740.2571669
826	740.235016
827	740.2110547
828	740.1873687
829	740.1524291
830	740.1332328
831	740.1269287
832	740.1121825
833	740.1024808
834	740.0965774
835	740.0890897
836	740.0836124
837	740.0783319
838	740.0689406
839	740.0590506
840	740.053634
841	740.0449146
842	740.0394462
843	740.0280354
844	740.0172095
845	740.0078917
846	739.9970926
847	739.9955961
848	739.9854141
849	739.9837303
850	739.9755587
851	739.9703086
852	739.9411142
853	739.9291949
854	739.9213571
855	739.9032014
856	739.888704
857	739.8875194
858	739.8822654
859	739.877147
860	739.8640284
861	739.8530571
862	739.8439095
863	739.8420766
864	739.8329115
865	739.83159
866	739.8274099
867	739.823144
868	739.8201658
869	739.8151467
870	739.8134279
871	739.8085809
872	739.7969977
873	739.7939514
874	739.7912039
875	739.7849606
876	739.7839204
877	739.7814241
878	739.7746391
879	739.7650619
880	739.7619173
881	739.760635
882	739.7552486
883	739.7530659
884	739.7406773
885	739.7229263
886	739.718863
887	739.713806
888	739.7082178
889	739.7005885
890	739.698017
891	739.6832279
892	739.6697204
893	739.6364047
894	739.6294603
895	739.6206656
896	739.614434
897	739.6087805
898	739.6031224
899	739.6029181
900	739.6022093
901	739.5998608
902	739.5912755
903	739.5861662
904	739.5844054
905	739.5797467
906	739.5728455
907	739.5645579
908	739.5540068
909	739.5403494
910	739.5056012
911	739.4801614
912	739.4707837
913	739.4702551
914	739.4665309
915	739.4601291
916	739.4525318
917	739.4422271
918	739.4278572
919	739.4130666
920	739.4055712
921	739.4012027
922	739.365357
923	739.3565511
924	739.3543546
925	739.3458066
926	739.3394535
927	739.3338763
928	739.3275548
929	739.3207961
930	739.3152941
931	739.3126868
932	739.3051191
933	739.2978921
934	739.2944177
935	739.2778366
936	739.2703875
937	739.2585985
938	739.2558443
939	739.2486616
940	739.2453402
941	739.2392529
942	739.2367203
943	739.2265835
944	739.2251027
945	739.2245236
946	739.221555
947	739.215251
948	739.2129393
949	739.2086209
950	739.1983264
951	739.1910881
952	739.1788697
953	739.1719444
954	739.1674984
955	739.1646744
956	739.1572052
957	739.1498604
958	739.1495798
959	739.1436681
960	739.1388317
961	739.1371103
962	739.1357521
963	739.1307867
964	739.1158087
965	739.1146602
966	739.1133765
967	739.1083375
968	739.102198
969	739.0914715
970	739.0907898
971	739.0778803
972	739.0727361
973	739.0684284
974	739.0606538
975	739.0574008
976	739.053744
977	739.0461186
978	739.0372752
979	739.0344999
980	739.0328225
981	739.022794
982	739.0222549
983	739.0122427
984	739.0042861
985	738.9919822
986	738.9877195
987	738.9871384
988	738.9782782
989	738.9776398
990	738.9744782
991	738.9735077
992	738.9724539
993	738.9673277
994	738.9646589
995	738.9572124
996	738.9505282
997	738.9343384
998	738.9230587
999	738.9158372
